uniprot_id,gene_name,protein_name,seq_length
A0A655FXX5,ERS007661_04243,Uncharacterized protein,82
A0A655JPI3,ERS007720_04361,"Conserved protein of uncharacterized function with PIN domain, possible toxin",98
A0A655A0Z3,ERS027659_02407,Uncharacterized protein,227
A0A655AU41,ERS027661_05009,Uncharacterized protein,86
A0A655AUT4,ERS027659_05245,Uncharacterized protein,61
A0A655AY15,gabD1,Succinate-semialdehyde dehydrogenase [NADP+],154
A0A916L7D1,ERS007739_00116,Uncharacterized protein,68
A0A2I7W2X2,CAB90_00258,Acyltransferase,87
A0A2I7W8X4,CAB90_02496,Uncharacterized protein,75
A0A2I7W987,cysE,Serine acetyltransferase,225
A0A2I7WA18,CAB90_02921,Uncharacterized protein,152
A0A2I7WBV2,CAB90_03592,Uncharacterized protein,107
A0A654TNM4,ERS007688_02422,Uncharacterized protein,124
A0A654U0B0,ERS007657_01850,Uncharacterized protein,147
A0A654ZZ52,ERS027659_01740,Transcriptional regulator,122
A0A655AJG2,ERS027659_03717,Transmembrane protein,168
A0A655AWT9,pgi,Glucose-6-phosphate isomerase,73
A0A655JSD9,ERS007741_04658,Uncharacterized protein,97
A0A655A2Q0,ERS027659_02574,Uncharacterized protein,245
A0A655J0M1,ERS007679_03651,"Allophanate hydrolase, subunit 1",216
A0A655JCE1,ERS007741_02997,Secreted protein,130
A0A655AKP0,ERS027646_03367,Uncharacterized protein,104
A0A655G0A0,ERS007661_04514,Integral membrane protein,74
A0A655INJ7,ERS007741_01350,Uncharacterized protein,93
A0A655IVW1,fadM,Proline dehydrogenase,93
A0A916LAS0,ERS007739_01611,Uncharacterized protein,73
A0A916LFX5,acs_2,Acetyl-coenzyme A synthetase,144
A0A916P9P4,tcrX_2,DNA-binding response regulator,76
A0A654TDI2,gatA_2,Aspartyl/glutamyl-tRNA amidotransferase subunit A,96
A0A654TY90,fadD35,Fatty-acid-CoA ligase,76
A0A655APJ7,ERS027661_04883,Uncharacterized protein,67
A0A655AAD6,ERS027661_02915,Uncharacterized protein,86
A0A655INQ5,lpqO,Lipoprotein lpqo,203
A0A655JT89,ERS007720_04972,Uncharacterized protein,67
A0A655ANV1,ERS027661_04777,Uncharacterized protein,59
A0A655ANX0,ERS027661_04782,Uncharacterized protein,151
A0A655EJC5,ERS007661_01886,Transport transmembrane protein,247
A0A655IQB1,aroA,3-phosphoshikimate 1-carboxyvinyltransferase AROA (5-enolpyruvylshikimate-3-phos,96
A0A916PGX5,ERS007739_03338,Uncharacterized protein,56
A0A655AQH0,ERS027659_04583,Uncharacterized protein,84
A0A655AU44,ERS027646_04387,Uncharacterized protein,108
A0A655IMR5,ERS007741_01300,Transmembrane protein,242
A0A655JJ55,ERS007679_04575,Uncharacterized protein,51
A0A655JKM8,ERS007741_03792,Oxygenase,489
A0A654TWT9,ERS007657_00651,methanethiol S-methyltransferase,125
A0A654ZYK3,ERS027661_01412,Uncharacterized protein,248
A0A655AK16,ERS027659_03868,Integral membrane protein,233
A0A655AN18,ERS027661_04472,Uncharacterized protein,156
A0A655J8P2,ERS007720_02817,Lipoprotein lpqB,122
A0A655AW19,ERS027659_05220,Transmembrane protein,84
A0A916L8G1,ERS007739_00628,Uncharacterized protein,54
A0A916LAY9,ERS007739_01968,Uncharacterized protein,76
A0A916LD35,ERS007739_02970,Peptidase,113
A0A916LH50,ERS007739_05486,Uncharacterized protein,53
A0A0U0QQ18,ERS007703_00907,"Metallo-beta-lactamase, putative",69
A0A916L8E3,ERS007739_00627,Uncharacterized protein,58
A0A916L8S6,ERS007739_00835,Uncharacterized protein,70
A0A916LCN4,ERS007739_03107,S-adenosyl-L-methionine-dependent methyltransferase,60
A0A916PAL4,ERS007739_00650,Uncharacterized protein,173
A0A916PHS5,tesB,Acyl-CoA thioesterase II TesB1,64
A0A916LEC5,ERS007739_03068,Uncharacterized protein,55
A0A916LEE3,ERS007739_03685,Uncharacterized protein,73
A0A2I7W467,CAB90_00741,Uncharacterized protein,111
A0A2I7W5V7,folP2,Dihydropteroate synthase,129
A0A2I7W6L6,CAB90_01661,Transcriptional regulator,63
A0A2I7WB97,ligA,DNA ligase A,123
A0A2I7WD99,CAB90_04106,Uncharacterized protein,108
A0A0U0RVQ3,ERS007703_00468,Uncharacterized protein,110
A0A0U0QL49,ERS007703_00355,Uncharacterized protein,56
A0A0U0QQ64,ERS007703_00970,Uncharacterized protein,61
A0A0U0S9T7,ERS007703_03970,Mutator protein mutT3,151
A0A654T541,ERS007681_00570,Putative transposase,53
A0A654TSW1,ERS007688_03733,Uncharacterized protein,164
A0A916L7T5,ERS007739_00203,Uncharacterized protein,60
A0A916PAX1,ERS007739_01045,Uncharacterized protein,86
A0A916PHI5,ERS007739_05010,D-amino acid aminohydrolase,111
A0A655A6J9,mdlB,FMN-dependent alpha-hydroxy acid dehydrogenase,98
A0A655DE06,ERS007661_00930,Uncharacterized protein,59
A0A655IGN6,ERS007679_02670,Uncharacterized protein,63
A0A655ITE9,ERS007720_01872,Uncharacterized protein,71
A0A654ZRU1,ERS027659_00399,Uncharacterized protein,151
A0A655JCR7,ERS007741_03022,Uncharacterized protein,70
A0A2I7W6F0,CAB90_01559,Uncharacterized protein,270
A0A2I7WAH3,vapB42,Antitoxin VapB42,89
A0A654TCP6,folP1,Dihydropteroate synthase,106
A0A654TRJ7,adhE1,Zinc-type alcohol dehydrogenase subunit E,210
A0A654TRQ6,ERS007688_03489,Uncharacterized protein,179
A0A654U405,ERS007657_03077,Uncharacterized protein,75
A0A654U506,ERS007657_03426,Uncharacterized protein,136
A0A654U509,ERS007657_03208,Uncharacterized protein,118
A0A655AN55,ERS027661_04290,Acyl-CoA synthetase,59
A0A654U758,ERS007657_04371,Uncharacterized protein,84
A0A655A510,ERS027659_02434,Uncharacterized protein,75
A0A655ACR1,ERS027659_03417,Uncharacterized protein,51
A0A655AWL5,ERS027659_05254,Uncharacterized protein,57
A0A655FYE9,ERS007661_04175,Uncharacterized protein,103
A0A655HMM8,ERS007679_00337,Cell division protein,269
A0A655J4D4,ERS007741_02340,Uncharacterized protein,215
A0A916P825,lpqY,Sugar-binding lipoprotein,113
A0A655AEU9,ERS027646_02945,Exported repetitive protein PirG,170
A0A655AKU7,ERS027659_04591,Acyl-CoA synthetase,249
A0A655HZL1,eccB2,ESX-2 secretion system protein eccB2,118
A0A655JRR8,ERS007720_04601,Uncharacterized protein,104
A0A655ARC2,ERS027646_04015,Transmembrane protein,402
A0A654TY99,ERS007657_00803,Uncharacterized protein,73
A0A654U7T9,eccCb1_3,Putative ESX-4 secretion system protein,135
A0A655A3Z2,mtrB,Sensor histidine kinase MtrB,327
A0A655A6H5,ERS027646_01415,Oxidoreductase,348
A0A655AJV9,hemC,hydroxymethylbilane synthase,210
A0A655AU03,ERS027646_04152,Phage-related replication protein,190
A0A655I056,rlmN,Ribosomal RNA large subunit methyltransferase N,225
A0A655JFC9,ERS007741_03251,Uncharacterized protein,108
A0A655JL67,ruvB,Holliday junction DNA helicase subunit RuvB,152
A0A655JT94,ERS007741_04722,Uncharacterized protein,63
A0A916LEE4,ERS007739_04132,Uncharacterized protein,54
A0A916P7Q1,ERS007739_01620,Uncharacterized protein,52
A0A0U0TCS5,ERS007703_05284,Uncharacterized protein,125
A0A0U0S3X0,fadE27,Acyl-CoA dehydrogenase,138
A0A0U0S5X8,fadE4,Acyl-CoA dehydrogenase,289
A0A0U0QMA3,ERS007703_00580,Uncharacterized protein,122
A0A0U0QQJ1,ERS007703_00836,Uncharacterized protein,123
A0A0U0S917,ERS007703_03951,Uncharacterized protein,149
A0A0T9D5D3,ERS007703_04449,Uncharacterized protein,105
A0A0U0RYW1,ERS007703_03516,Uncharacterized protein,141
A0A2I7W2R7,CAB90_00209,Uncharacterized protein,136
A0A2I7W9Y8,aspS,Aspartate--tRNA(Asp/Asn) ligase,596
A0A2I7WDS4,CAB90_04288,Uncharacterized protein,129
A0A0U0QMR4,ERS007703_00612,Uncharacterized protein,166
A0A0U0QYT8,rpsP_1,Small ribosomal subunit protein bS16,81
A0A654U463,ERS007657_03190,Uncharacterized protein,121
A0A655AR40,ERS027659_05115,Uncharacterized protein,80
A0A2I7WBC5,CAB90_03414,200 kDa antigen p200,548
A0A655FGZ0,tgs2_5,Diacylglycerol O-acyltransferase,358
A0A655HN00,ERS007679_00147,Uncharacterized protein,90
A0A655ILG7,ERS007679_02865,"Conserved protein of uncharacterized function, probable VapC16-like toxin (Part1",100
A0A655JCV0,ERS007720_03172,Secreted protein,119
A0A2I7W8C4,cobN,Cobalamin biosynthesis protein CobN,862
A0A2I7W5F2,CAB90_01211,NTE family protein,79
A0A916LFX7,ERS007739_04618,Secreted protein,65
A0A916P7T8,ERS007739_01836,Uncharacterized protein,50
A0A916PCV5,ERS007739_04507,Uncharacterized protein,72
A0A655AHM4,folP1,dihydropteroate synthase,217
A0A655JS94,ERS007720_04776,Uncharacterized protein,132
A0A916LC60,ERS007739_02570,Secreted protein,109
A0A655J8J9,ERS007679_03976,Uncharacterized conserved protein,210
A0A655A3W9,alkB,Alkane 1-monooxygenase,98
A0A655DTG6,radA_1,DNA repair protein RadA (DNA repair protein SMS),326
A0A655DYA0,ERS007661_01396,Uncharacterized protein,64
A0A655EK72,topA,DNA topoisomerase I,213
A0A655HPK0,ERS007679_00562,Uncharacterized protein,305
A0A655I106,ERS007679_01711,Uncharacterized protein,76
A0A655ICZ0,ERS007720_00920,Uncharacterized protein,50
A0A655IH19,polA,DNA polymerase I,474
A0A655JU49,ERS007720_05088,Uncharacterized protein,84
A0A916LAL7,ERS007739_01940,PPE family protein,74
A0A916PHD3,ERS007739_04614,Uncharacterized protein,61
A0A654TQ84,ERS007688_02932,Conserved membrane protein of uncharacterized function,380
A0A654TRH9,treY_1,Maltooligosyltrehalose synthase,224
A0A654U2B9,ERS007657_02448,Uncharacterized protein,120
A0A655AP17,ERS027661_04796,Uncharacterized protein,119
A0A655JGG6,ERS007741_03345,Uncharacterized protein,351
A0A916L9J1,ERS007739_01113,Uncharacterized protein,105
A0A916PA13,ERS007739_05097,Uncharacterized protein,52
A0A0U0QKT2,ERS007703_00411,Uncharacterized protein,175
A0A0U0RDJ2,ERS007703_02405,Transmembrane protein,178
A0A0U0T7F5,ERS007703_03091,Uncharacterized protein,119
A0A2I7W3B8,vapB24,Antitoxin VapB24,77
A0A2I7W944,parD2,Antitoxin ParD2,111
A0A2I7WBB1,cobB,"Hydrogenobyrinate a,c-diamide synthase",457
A0A0U0RVT3,ERS007703_03378,Uncharacterized protein,100
A0A0U0U338,ERS007703_02699,Uncharacterized protein,51
A0A2I7W4N4,gcvT_1,Aminomethyltransferase,368
A0A2I7W529,CAB90_01052,Uncharacterized protein,62
A0A2I7WA83,CAB90_02998,Uncharacterized protein,107
A0A2I7WAQ6,CAB90_03174,Uncharacterized protein,144
A0A2I7WC00,CAB90_03461,Oxidoreductase SadH,276
A0A654T3Q8,purK_1,N5-carboxyaminoimidazole ribonucleotide synthase,301
A0A654U291,ERS007657_02414,Uncharacterized protein,58
A0A654U5A8,aceAa,isocitrate lyase,168
A0A655JJ22,ERS007720_03747,Transposase,76
A0A916P6I8,ERS007739_00148,Transmembrane protein,59
A0A0U0QS43,ERS007703_01136,PPE family protein,119
A0A0U0RRX5,ERS007703_03195,Oxidoreductase,54
A0A0U0SUS5,dppA,Periplasmic dipeptide-binding lipoprotein DPPA,194
A0A655AP44,dop,Pup deamidase/depupylase,164
A0A655AS71,ERS027659_05238,Biotin carboxylase-like protein,77
A0A655AWS6,ddlA,D-alanine--D-alanine ligase,238
A0A655HZV5,ERS007720_00073,Uncharacterized protein,131
A0A655I8P4,ERS007741_00267,Amidotransferase,146
A0A655JBR7,ERS007741_02930,Uncharacterized protein,601
A0A655JLZ1,ERS007741_03920,Uncharacterized protein,63
A0A655JS09,ephE_2,Epoxide hydrolase,73
A0A655AMZ8,ERS027661_04745,"SEC-C motif-containing protein,tetratricopeptide repeat protein",182
A0A655APU5,ERS027659_05018,Uncharacterized protein,67
A0A655ARK4,ERS027661_05011,Dehydrogenase,75
A0A655JQS9,ERS007741_04325,Hypothetical alanine and valine rich protein,133
A0A655JTL0,ERS007741_04830,Uncharacterized protein,59
A0A655APD8,ERS027661_04827,Uncharacterized protein,106
A0A2I7W4E3,CAB90_00776,Uncharacterized protein,124
A0A2I7W9T8,CAB90_02840,Uncharacterized protein,143
A0A2I7WAD5,nrdR,Transcriptional repressor NrdR,154
A0A2I7WCC6,CAB90_03595,Uncharacterized protein,97
A0A654TL94,mraY,Phospho-N-acetylmuramoyl-pentapeptide-transferase,114
A0A654U2W9,ERS007657_02707,Transmembrane protein,159
A0A654U7W6,lprM,Putative MCE-family lipoprotein LPRM,50
A0A654TXS9,fadD4,Fatty-acid-CoA ligase,168
A0A655ADB4,ERS027646_01763,Uncharacterized protein,117
A0A655FYD8,citE,Citrate lyase subunit beta,135
A0A655JKS6,ERS007679_04629,Uncharacterized protein,97
A0A916L7Y5,ERS007739_00323,Uncharacterized protein,52
A0A916LBJ7,adhE1,Zinc-type alcohol dehydrogenase subunit E,86
A0A916P913,ERS007739_03673,Uncharacterized protein,73
A0A655AAU7,ERS027659_02997,Uncharacterized protein,189
A0A655AMF3,ERS027661_04020,Uncharacterized protein,204
A0A655ANR0,ERS027661_04809,Lipase,57
A0A655ASR5,ERS027646_04978,"DNA-damage-inducible protein P, putative",70
A0A655ER80,amiA2,amidase,198
A0A655EXE4,ERS007661_02171,Uncharacterized protein,77
A0A655J0Z7,gnd1,6-phosphogluconate dehydrogenase,68
A0A655JGH7,dnaE2_1,Error-prone DNA polymerase,668
A0A655JR43,ERS007720_04478,Uncharacterized protein,322
A0A916L8D0,ERS007739_00705,Uncharacterized protein,172
A0A916LA46,ERS007739_01402,Transmembrane protein,178
A0A916LHV7,ERS007739_05269,Cytochrome P450,57
A0A916L9F0,ERS007739_01252,Transposase,138
A0A916LDL3,ERS007739_02613,Uncharacterized protein,58
A0A916P7U9,ERS007739_01852,Uncharacterized protein,105
A0A0U0SGW9,ERS007703_04153,Uncharacterized protein,118
A0A2I7W2W2,gabD1,Succinate-semialdehyde dehydrogenase,309
A0A2I7W9Q2,CAB90_02783,Diacylglycerol O-acyltransferase,150
A0A655A1H0,ERS027661_01970,Glycolipid sulfotransferase,175
A0A655D1A2,aldA,Aldehyde dehydrogenase NAD-dependent,222
A0A655JNM2,ERS007741_04073,Integral membrane alanine and leucine rich protein,156
A0A654U7W7,ERS007657_04503,Arylsulfatase atsA,66
A0A655FTS2,ERS007661_03536,3-demethylubiquinone-9 3-methyltransferase,85
A0A655HVU1,ERS007679_01251,"von Willebrand factor, type A",344
A0A655I5J8,ERS007679_01996,Uncharacterized protein,109
A0A655IDT8,ERS007720_00957,Uncharacterized protein,85
A0A655JTD8,ERS007720_05011,Transcriptional regulator,60
A0A654TEK4,ERS007681_03981,Uncharacterized protein,129
A0A654TK41,ERS007681_04465,Uncharacterized protein,183
A0A654U0D7,ERS007657_01832,Arylsulfatase AtsB,302
A0A655AHE9,PPE51,PPE family protein,181
A0A655AWP2,ERS027646_04961,Uncharacterized protein,62
A0A654TQ50,ddlA,D-alanine--D-alanine ligase,278
A0A655EK80,ERS007661_01901,Uncharacterized protein,326
A0A916L9X4,ERS007739_01312,Uncharacterized protein,160
A0A916LAP7,ERS007739_01970,Uncharacterized protein,50
A0A654TPL3,ERS007688_02792,Uncharacterized protein,216
A0A654TQZ1,lppR_1,Lipoprotein LppR,181
A0A654U231,ERS007657_02356,"Conserved protein of uncharacterized function, thought to be involved in the per",62
A0A655AP79,ERS027661_04407,Uncharacterized protein,118
A0A655FYW8,ERS007661_04050,Secreted protein,114
A0A916L9D0,ERS007739_01237,Uncharacterized protein,93
A0A916LAU5,ERS007739_02070,Transposase,96
A0A916LG94,espE,ESX-1 secretion-associated protein EspE,107
A0A916LEJ1,clpC,"Conserved protein of uncharacterized function, possible ClpC2-like ATP-dependent",111
A0A916L8J4,ERS007739_00721,Uncharacterized protein,50
A0A916L905,ERS007739_01055,Glycosyltransferase,81
A0A916LD89,ERS007739_03438,Uncharacterized protein,62
A0A916LFM6,ERS007739_03933,Uncharacterized protein,51
A0A654TZW2,ERS007657_01691,Uncharacterized protein,51
A0A654U7Q2,ERS007657_04565,Penicillin-binding lipoprotein,57
A0A654ZTE8,ERS027661_01467,Transporter,247
A0A655AW09,ERS027659_04991,Acyl-CoA synthetase,117
A0A655FSZ1,fusA,Translation elongation factor 2 (EF-2/EF-G),106
A0A655J2Y0,ERS007720_02467,Uncharacterized protein,68
A0A655J8W7,ERS007741_02701,Uncharacterized protein,225
A0A654TBK6,ERS007681_02880,Dehydrogenase,70
A0A654TM85,pepA_2,Multifunctional aminopeptidase A,204
A0A654TUU9,ERS007688_04654,Uncharacterized protein,73
A0A654ZU67,ERS027661_00712,Uncharacterized protein,105
A0A655A233,ERS027646_01118,Uncharacterized protein,215
A0A655JKL4,ERS007741_03744,Uncharacterized protein,244
A0AAD2ITU1,ERS007718_03981,Uncharacterized protein,156
A0A916LAS6,ERS007739_02041,Uncharacterized protein,52
A0A916LCX0,ERS007739_03227,Uncharacterized protein,57
A0A916P9C6,ERS007739_04232,Uncharacterized protein,108
A0A916PGU8,ERS007739_03156,Uncharacterized protein,67
A0A916LC63,ERS007739_02890,Uncharacterized protein,263
A0A0U0R8V7,ERS007703_02251,Rv3651-like N-terminal domain-containing protein,108
A0A2I7W3U5,espI_1,ESX-1 secretion-associated protein EspI,66
A0A2I7W619,CAB90_01415,Uncharacterized protein,66
A0A2I7WCK6,CAB90_03838,Uncharacterized protein,152
A0A0U0QTY6,ERS007703_01307,Uncharacterized protein,131
A0A0U0RME2,ERS007703_02891,Uncharacterized protein,55
A0A0U0T590,ERS007703_04927,Uncharacterized protein,196
A0A2I7W3Y1,CAB90_00638,Uncharacterized protein,75
A0A2I7W609,CAB90_01418,Uncharacterized protein,99
A0A0T9FL82,ERS007703_01931,Uncharacterized protein,163
A0A0U0S4N3,ERS007703_03718,Uncharacterized protein,135
A0A0U0TE96,ERS007703_05302,Uncharacterized protein,102
A0A916LB38,ERS007739_02075,Uncharacterized protein,56
A0A916LBI9,ERS007739_02562,Uncharacterized protein,82
A0A916LCS7,ERS007739_03182,Uncharacterized protein,64
A0A916LET8,ERS007739_04135,Uncharacterized protein,52
A0A916PCN7,ERS007739_03522,Uncharacterized protein,60
A0A2I7W703,hisD,Histidinol dehydrogenase,296
A0A2I7WBR1,CAB90_03355,Uncharacterized protein,124
A0A2I7WDR8,CAB90_04297,Phosphoglycerate mutase,159
A0A2I7W336,PE5,PE family protein PE5,57
A0A2I7W3K3,CAB90_00515,Uncharacterized protein,100
A0A0U0QKY5,ERS007703_00242,Universal stress protein,142
A0A0U0SQD1,ERS007703_04487,Uncharacterized protein,54
A0A0U0R4T9,ERS007703_01918,Secreted protein,106
A0A0U0T5Q4,ERS007703_04960,Transmembrane protein,185
A0A2I7WBP8,nuoM,NADH-quinone oxidoreductase subunit M,414
A0A654T8X9,ERS007681_01995,Uncharacterized protein,84
A0A654U4H5,cydA,Cytochrome D ubiquinol oxidase subunit I,177
A0A654U4V3,ERS007657_03298,Transmembrane protein,135
A0A654U5S1,ERS007657_03690,Uncharacterized protein,121
A0A2I7W3U0,CAB90_00613,Uncharacterized protein,143
A0A2I7WDB7,CAB90_04110,Uncharacterized protein,146
A0A2I7WCF2,amiD_2,Amidase AmiD,117
A0A655FZA4,tgs4,Putative diacylglycerol O-acyltransferase,71
A0A655IP99,oplA,5-oxoprolinase OplA (5-oxo-l-prolinase) (Pyroglutamase) (5-opase),544
A0A654U644,ERS007657_04008,Uncharacterized protein,70
A0A655A507,ERS027646_01218,TetR family transcriptional regulator,58
A0A655A721,ERS027659_02464,Uncharacterized protein,200
A0A655ARL1,ERS027646_04752,Secreted protein,169
A0A655ATN0,ERS027661_04973,Uncharacterized protein,65
A0A655JIJ7,ERS007720_03678,Uncharacterized protein,93
A0A655JIN3,ERS007679_04550,Uncharacterized protein,120
A0A655AY32,fabH,3-oxoacyl-ACP synthase,162
A0A655JK13,ERS007741_03738,PPE family protein,713
A0A916PD31,ERS007739_04159,Uncharacterized protein,73
A0A654U6Q3,embC_2,Membrane indolylacetylinositol arabinosyltransferase embC,121
A0A655JGN9,devR_2,LuxR family transcriptional regulator,630
A0A9P1PEF8,ERS053720_00520,PE-PGRS family protein,157
A0A654TSH0,lpdA_3,Flavoprotein disulfide reductase,255
A0A654U5G6,amiA1,N-acyl-L-amino acid amidohydrolase,156
A0A654ZVQ7,ERS027659_01832,Secreted protein,145
A0A655ABC7,thiG,thiazole synthase,72
A0A655AST3,ERS027646_03967,PPE family protein,185
A0A655HQL6,ERS007679_00660,Conserved membrane protein of uncharacterized function,237
A0A655I2H0,fadD12,Long-chain-fatty-acid--CoA ligase,72
A0A655IPS6,miaA,tRNA dimethylallyltransferase,547
A0A655JLJ3,ERS007720_03953,Uncharacterized protein,62
A0A655JP94,ERS007720_04286,Uncharacterized protein,81
A0A655FXD8,ERS007661_03924,Membrane protein,104
A0A916L8X0,ERS007739_01005,Uncharacterized protein,151
A0A654U0E0,ERS007657_01880,Uncharacterized protein,112
A0A655A4H7,ERS027661_02260,Uncharacterized protein,123
A0A655AMB7,ERS027659_04034,Uncharacterized protein,63
A0A916LC05,ERS007739_02667,Uncharacterized protein,83
A0A916LFU8,ERS007739_04303,Uncharacterized protein,52
A0A916LGH0,ERS007739_04989,Secreted protein,117
A0A916LGM9,ERS007739_05382,Uncharacterized protein,70
A0A916PC27,ERS007739_02686,Uncharacterized protein,82
A0A654ZWC7,ERS027661_01019,Uncharacterized protein,231
A0A655A899,ERS027659_03192,Uncharacterized protein,199
A0A655A9J0,lpqQ_2,Lipoprotein LpqQ,122
A0A655AEK4,ERS027646_02915,Transmembrane protein,135
A0A655AF94,ERS027661_03938,Uncharacterized protein,222
A0A655AN56,kstR2_5,TetR family transcriptional regulator,95
A0A655AP81,ERS027661_04808,Conserved membrane protein of uncharacterized function,107
A0A655AQM6,ung_2,uracil-DNA glycosylase,123
A0A655ARU9,pks16,Polyketide synthase Pks16,115
A0A655FY84,ERS007661_04419,"Cullin, a subunit of E3 ubiquitin ligase",135
A0A655FYN8,ERS007661_04250,Uncharacterized protein,69
A0A655FZB0,ERS007661_04472,Conserved exported protein of uncharacterized function,114
A0A655IB85,oxc,Putative oxalyl-CoA decarboxylase,390
A0A655AVT9,ERS027646_04551,Magnesium chelatase,62
A0A9P1L8I8,ERS053720_00242,Uncharacterized protein,144
A0A916L8L2,ERS007739_00717,Uncharacterized protein,68
A0A916LGV3,rimM,16S rRNA processing protein RimM,89
A0A916PAJ2,ERS007739_00954,Uncharacterized protein,109
A0A0U0SV04,ERS007703_04708,Uncharacterized protein,175
A0A0U0TBV1,ERS007703_05219,Uncharacterized protein,86
A0A916LAA7,ERS007739_01755,Uncharacterized protein,180
